FORMATTEDADDRESS,ADDRLINE1,ADDRLINE2,ADDRLINE3,ADDRLINE4,ADDNUMBER,ADDNUMBER2,STREETNAME,STREETPREDIR,STREET,STREETSUFFIX,STREETPOSTDIR,UNITTYPE,UNIT,LEVEL,BUILDINGNAME,CITY,POSTALCODE,POSTALCODEEXT,ADMIN2,ADMIN1,COUNTRY,LOCCODE,LATITUDE,LONGITUDE,PROPTYPE,LANGCODE,FIPS,is_dirty,mutation_category,mutation_desc
"3911 Carlson St, Apt 167, Meganside, PA 22054",3911 Carlson St,Apt 167,,,3911,,Carlson,,Carlson,St,,Apt,167,,,Meganside,22054,,East Collinberg,PA,USA,,,,X,ENG,90764,False,,
"6324 Chen Ave, Port Maria, MO 39871",6324 Chen Ave,,,,6324,,Chen,,Chen,Ave,,,,,,Port Maria,39871,,Angelabury,MO,USA,,,,M,ENG,54991,False,,
"811 Moran Ct, Apt 97, West Lauraberg, OR 18161",811 Moran Ct,Apt 97,,,811,,Moran,,Moran,Ct,,Apt,97,,,West Lauraberg,18161,,Port Devinbury,OR,USA,,,,R,ENG,02928,False,,
"9144 Dean Ln, Andrewberg, TX 89407",9144 Dean Ln,,,,9144,,Dean,,Dean,Ln,,,,,,Andrewberg,89407,,New Charles,TX,USA,,,,M,ENG,06624,False,,
"5920 Smith Dr, Apt 175, Williamsshire, VT 81015",5920 Smith Dr,Apt 175,,,5920,,Smith,,Smith,Dr,,Apt,175,,,Williamsshire,81015,,Olsenland,VT,USA,,,,R,ENG,76964,False,,
"2903 Miller Dr, New Joseph, IL 67364",2903 Miller Dr,,,,2903,,Miller,,Miller,Dr,,,,,,New Joseph,67364,,Josephport,IL,USA,,,,M,ENG,15886,False,,
"9225 Smith Dr, Port Christophershire, VA 07488",9225 Smith Dr,,,,9225,,Smith,,Smith,Dr,,,,,,Port Christophershire,07488,,Destinyview,VA,USA,,,,R,ENG,33069,False,,
"1779 Betlran Ave, Edwardsfort, SC 18825",1779 Betlran Ave,,,,1779,,Betlran,,Betlran,Ave,,,,,,Edwardsfort,18825,,Leslieside,SC,USA,,,,R,ENG,80206,True,typographic,Transposed characters in street name
"3711 Clark Ct, Martinburgh, SC 51435",3711 Clark Ct,,,,3711,,Clark,,Clark,Ct,,,,,,Martinburgh,51435,,Lake Reginaburgh,SC,USA,,,,B,ENG,60525,True,structural,Missing unit/apt number
"7024 Blel Rd, Apt 196, Richardbury, MD 54154",7024 Blel Rd,Apt 196,,,7024,,Blel,,Blel,Rd,,Apt,196,,,Richardbury,54154,,New Tina,MD,USA,,,,M,ENG,48586,True,typographic,Transposed characters in street name
